text,act,scene,actscene
ow the time drags when youre sad was that my father i just saw ducking into the house  it was said benvolio what kind of sadness is this that makes the time drag so  not having what i need to make it go fast  not in love  no out  out of love  out of the favour of the girl i love  dear oh dear said benvolio trying not to laugh its a hard life that love such a gentle thing should be so rough when it comes down to it  yes said romeo i dont want to talk about it where shall we go for lunch  as they got to the corner romeo stopped he saw the broken awnings the traders still chasing their chickens and piglets and wounded men hobbling away  what happened he said but before benvolio could answer he sighed yet again dont tell me he shook his head sadly i know all about it this is about hatred  but im thinking only about love oh everything is upside down he looked sharply at benvolio are you laughing at me  would i do that said benvolio you make me want to cry  why  because youre so pathetic  its love that makes me pathetic said his cousin but dont give it another thought youve got more to think about his eyes filled with tears if you start feeling sorry for me itll only make things worse so goodbye  hold on said benvolio ill walk with you  where to im not here this isnt me i have lost myself romeos somewhere else  aright said benvolio be serious tell me who it is  i cant bear to say her name  come on  well ill tell you shes a girl  oh well done said benvolio i assumed that when you said you were in love  and shes beautiful  good for you  but she doesnt want to know romeo took out a handkerchief and dabbed at his eyes shes not interested in boys says she never will be she wont listen to anything i say when our eyes meet she looks the other way ive even offered her money  well shes determined not to have a man  oh god said romeo such a waste shes so beautiful benvolio and shell go through life alone and when she dies all beauty will die with her she says shell never love anyone so im destined for a living death benvolio grasped romeos wrist will you trust me i can tell you how to forget her  how said romeo impossible tell me how  simple said benvolio get out and about look at other girls  its no good said romeo whenever i see a beautiful girl from now on ill only think of one who is even more beautiful goodbye benvolio theres no way i could forget her theres nothing you can do im taking that as a challenge said benvolio ill sort it out dont you worry  ,Act 1,Scene 1,Act 1Scene 1
no capulet told his visitor its six of one and half a dozen of the other were both bound over to keep the peace one as much as the other and i dont think its so difficult for men of our age  his visitor the young count of paris shrugged youre both respectable men its a pity youve had to live your lives as enemies he wasnt interested in the relationship between the two families it was a bit distasteful this public brawling but capulet was rich and his daughter was very desirable lets get down to business he said what do you say to my proposition  capulet paced back and forth for a while stopped and stared out the window then turned back to the young man  look he said i can only tell you what ive already intimated my daughter is still a child shes not fourteen yet give it time in a couple of years shell be just about ready for marriage  many girls younger than her are mothers already said paris  and their lives are ruined said capulet my daughter is very special to me  shes my only surviving child all my hopes rest on her do you understand what im saying he put his hand on the young mans shoulder ill tell you what lets agree to a compromise take it slowly paris gain her confidence if she agrees to marry you,Act 1,Scene 2,Act 1Scene 2
 then my consent will follow and my blessing too  paris thought for a moment then nodded they shook hands  thats settled then capulet moved briskly to his desk and now to pleasure tonight im having a party there are going to be a lot of people all friends of mine  among which i count you of course why dont you join us i can promise you my humble house will be filled with gorgeous girls and i mean gorgeous real stars he winked make yourself at home look at them talk to them dance with them perhaps youll even like one of them better than my daughter its alright with me if you do marriage is a big step you have to be sure no use rushing these things  he turned to the doorway peter he called come in here please  a young servant hurried in drying his hands on his shirt as he came  jump to it said capulet he took a sheet of paper off his desk and handed it to the young servant go on take it i want you to go all around verona and find the people on this list tell them theyre invited to my party tonight  peter waited until he was out in the piazza before he could bring himself to look at the list it was the first time hed ever been given a job like this find the people whose names are written on a list it wouldnt,Act 1,Scene 2,Act 1Scene 2
 be so bad if he could read he had managed to cover up his ignorance until now but this was a hard one hed have to find an educated person and ask him he looked about him two gentlemen were walking towards him  they passed him and he followed them listening to their conversation  come on man the first one said one fire can put another one out infect yourself with a new disease and it will kill the old ailment  sure said the second for your ailment well just use a herbal remedy  what said the first herbal remedy what for  for the broken leg youre going to get if you dont shut up  peter increased his pace hed ask these two they sounded educated enough he couldnt understand a word they were saying excuse me he said can you read  they stopped yes said the sad looking one he sighed i can read my own fate in my unhappiness  perhaps youve learnt that off by heart said peter but can you read by sight  yes if i recognize the letters and the language said the gentleman the other one laughed  alright forget it said peter he wasnt going to get anywhere with them they were mad hed find someone else thanks anyway he began walking away  wait said the sad gentleman im only joking of course i can read he took the sheet an,Act 1,Scene 2,Act 1Scene 2
d began reading signior martino and his wife and daughters count anselme it was only a list of names mercutio hmm see here benvolio mercutios on this list  my uncle capulet his wife and daughters my fair niece rosaline he paused at that held the sheet dramatically to his chest and sighed then he read on to the end a lot of people on this list he said whats it for  a party said peter  where  my masters house  and whos he  the great rich capulet everyones invited as long as you re not a montague you re welcome he snatched the sheet cheers  aha said benvolio when peter had gone rosalines going to be there i see  among some of the most luscious girls in verona lets go to capulets party romeo  noone will mind and lets be objective about it ill show you that the girl you think is a swan is nothing more than a crow  a girl more beautiful than rosaline said romeo never the suns never seen a more beautiful woman since the world began  rubbish said benvolio every time youve seen her shes been on her own  you need to make comparisons ill bet therell be hundreds of girls wholl put rosaline in the shade  alright ill go said romeo but not because i think you can show me anyone better im going only so that i can see her,Act 1,Scene 2,Act 1Scene 2
lady capulet came into the sitting room where her daughters nurse was sewing a pattern on to a handkerchief nurse she said wheres my daughter i want to talk to her  shes just here said the nurse she turned her head ladybird she called  my lamb where is that girl juliet  coming a voice called and juliet came running in from an adjoining room  when she saw her mother her face showed surprise mother what do you want  we need to talk said lady capulet nurse leave us this is a private matter  the nurse got up reluctantly but before she reached the door lady capulet called her back you might as well stay she said your advice would be helpful lady capulet cleared her throat you know juliets getting to the age when she frowned searching for the right word lets just say shes at a pretty age shes going to be fourteen in two weeks  oh yes said the nurse at lammas eve shell be fourteen she was the same age as my susan god rest her soul anyway at lammas eve shell be fourteen i remember it so well its eleven years since the earthquake  thats when she was weaned ah i,Act 1,Scene 3,Act 1Scene 3
ll never forget it  she took no notice of the impatient tapping of lady capulets fingers on the table nor the glances lady capulet and juliet were exchanging  you and my lord were at mantua then i had put wormwood on my nipple  sitting in the sun under the dovehouse wall  ah how well i remember it but as i said when she tasted the wormwood on the nipple of my breast tasted its bitterness she spat my breast out and pulled such a face and that was eleven years ago she could walk already  waddle rather and she used to rush about and fall over just the day before that she fell on her face and my husband god be with his soul  ah such a lovely man  he picked her up and said do you fall on your face when youve got more sense youll fall on your back wont you jule and god can strike me dead but the little wretch stopped crying and said yes to see that if i live to be a thousand ill never forget it wont you jule he said and the pretty child stopped crying and said yes the nurse slapped her thigh and laughed wont you jule he said and the pretty fool stopped in he,Act 1,Scene 3,Act 1Scene 3
r tracks and said yes  enough of this said lady capulet please be quiet for a minute i beg of you  yes madam said the nurse but i cant help laughing to think it should stop crying and say yes and with a bump as big as an egg  a wicked lump  and it cried bitterly yes my husband said are you falling on your face youll fall backward when you grow up wont you jule it stopped dead and said yes the nurse laughed loudly almost choking  and you stop dead now too please nurse said juliet  ive finished said the nurse she looked tenderly at juliet but i must say it you were the most beautiful baby i ever nursed if i could only live to see you married id die peacefully  married said lady capulet thats just what ive come to talk about she pulled juliet on to her lap tell me juliet how do you feel about getting married  ive never even thought about it said juliet  well start thinking about it now said her mother girls younger than you are already mothers here in verona as a matter of fact i was your mother when i was much the age you are now but to cut a long story ,Act 1,Scene 3,Act 1Scene 3
short the count of paris wants to marry you  the nurse gasped now theres a man young lady the perfect man  the best in verona said lady capulet  without doubt said the nurse  well said lady capulet do you think you could love him  juliet didnt know what to say it was too unexpected  youll see him at the party said her mother have a good look at him youll see what i mean and he has sound prospects by having him youll have everything  the nurse laughed her coarse laugh again youll have even more than that everyone knows that women grow bigger by having a man  lady capulet ignored her come on she said what do you think do you like the idea  juliet spoke carefully ill look forward to seeing him yes ill look at him but im not going to rush into anything or do anything that you wouldnt want me to  there was a knock at the door and peter came in madam he said the guests are starting to arrive its all going on down there my master wants you  lady capulet stood up i have to go come on juliet the counts waiting  go on darling said the nurse go and meet your love,Act 1,Scene 3,Act 1Scene 3
are we going to make some excuse for coming without being invited said romeo or shall we just go in and see what happens  they stood in the piazza watching the huge front door of capulets mansion  people were arriving and being let in mercutio the one with the invitation and romeos best friend even though he was related to the capulets sat on the ground humming  pretending to be above the debate he was making the point that he was the only one to have been invited  no speeches said benvolio speeches are out noone makes speeches any more well just go in too bad if they dont like us  horatio nodded there was no need to draw attention to themselves  alright then said romeo he sighed give me the torch horatio ill carry it im not going to dance  oh no you dont said mercutio shooing horatio away youre dancing thats the whole point  romeo sat down beside his friend and sighed im not in the mood  come on said mercutio youre a lover lovers are always in the mood for dancing  not me its because of love that im not in the mood im too heavyhearted for dancing  mercutio laughed what an act what a fuss about nothing  the others laughed with him and made fun of romeo  so loves nothin,Act 1,Scene 4,Act 1Scene 4
g now is it romeos face showed that he was offended you dont know what its like until youve felt it it hurts like hell  snap out of it then and it will stop hurting mercutio got up hand me a mask benvolio lets go  come on then said benvolio its getting late they gathered round him now as soon as were in lets all get down to some serious business  ill take the torch said romeo i told you im not dancing im just going to watch  he hung back and mercutio put his arm around his shoulders come on he coaxed were wasting time  romeo was reluctant i know we mean no harm and all that but i dont think its very bright to go to this party  why said mercutio  i had a dream last night  his friends groaned  lets go said benvolio if we dont get a move on all the food will be gone by the time we get there people were arriving in droves the doors were opening and closing every few seconds  i have this feeling said romeo a strong premonition that somethings going to happen somethings going to happen tonight i feel its going to end in my having to repay a debt with my life  the others looked at each other throwing their eyes up and shaking their heads  romeo shrugged alright then off we go,Act 1,Scene 4,Act 1Scene 4
romeo couldnt bear to leave the house where he had been so soundly struck down each step he took would carry him further away from juliet he couldnt go just like that his heart was here  nowhere else and he knew what would happen on the way home they would mock him he could do without that they would go on about rosaline rosaline who was rosaline  romeo hey romeo they were right behind him he pressed himself against the hard stone wall as though trying to find a hiding place among its crevices  romeo  cousin  oh romeo rohohomeo  they were coming closer in desperation romeo searched for a foothold and found one he pushed himself up the wall another foothold and another and before he knew it he was on top of the high wall he lay flat on his stomach holding his breath  they stopped right beneath him  i swear hes run off home to avoid us he heard mercutio say hell be in bed by now  no said benvolio he was here a moment ago ill bet he climbed over this orchard wall call him again mercutio  hes disappeared said mercutio like a ghost hey hes a ghost lets see if i can conjure him up  romeo lay trying not to breathe listening to their drunken giggling there was some whispering then mercutios voice rang out agai,Act 2,Scene 1,Act 2Scene 1
n  romeo madman there was more giggling lover appear to me appear in the form of a sigh  romeo held his breath  say something called mercutio anything more whispering and loud laughing  i conjure you in the name of rosalines bright eyes mercutio spoke in the formal tone of a priest by her high forehead and her scarlet lip  benvolio and horatio hooted  by her fine foot straight leg more giggles and quivering thighs yells of delight from the others  and everything else in that region raucous laughter  that you appear to us in the likeness of  of  the other two made animal noises  the likeness of yourself said mercutio  shhh said benvolio trying to stop laughing if he hears you hell be furious  how could that make him furious said mercutio raising him in the name of his beloved thats fair enough isnt it im only trying to raise him  its no use said benvolio when he had stopped laughing i think hes hiding in the orchard leave him since love is blind hes best off in the dark  if thats so its no wonder he cant hit his target said mercutio meaning rosaline he yawned oh well goodnight to romeo i need my bed shall we go without him  might as well said benvolio youll never find someone who doesnt want to be found,Act 2,Scene 1,Act 2Scene 1
romeo sat up the moon was huge it cast a silvery light over everything the wall he was on ran from the front of the mansion theyd just left and he realized he was on capulets property on one side of the wall was the narrow alley where his friends had been on the other was an orchard the back of the house loomed dark and forbidding  she was in there somewhere what was she doing was she thinking about him  it was alright for mercutio hed never felt the pain of love it was easy for him to joke about it  a light came on in a window perhaps it was her lighting the world like the morning sun she was the sun so much more beautiful than the goddess of the night the moon as though in answer to his wishes a door opened and she came out on to a balcony its her he whispered oh its my love  he wished she could know he was there sitting on the wall watching her her lips were moving but he couldnt hear what she was saying anyway she couldnt be talking to him  as he stared at her he tried to understand how anyone could be so beautiful it was as though the two most radiant stars in the sky had business somewhere else and had begged her eyes to take their place while they were away ,Act 2,Scene 2,Act 2Scene 2
it was as though they had changed places and the stars were in her head her eyes in the heavens  but even then the beauty of her cheek would dim those eyes in the same way as daylight overwhelms a lamp her eyes would shine so brightly in the heavens that birds would start singing thinking it was daytime  as he watched she leant her cheek on her hand oh how he wished he could be a glove on that hand so that he could touch that cheek oh how  she sighed loudly  he had to get closer he jumped at any other time he might have hurt himself but now he didnt even feel the ground as he landed all he was thinking was that he wanted her to speak again she was an angel wherever she was the night would be lit up he crept through the shadows of the orchard until he stood behind a tree that grew directly beneath the balcony  she sighed again oh romeo romeo she said why are you romeo i wish you could stop being a montague or if you wont just say you love me and ill stop being a capulet  romeo wanted to show himself to her but he also wanted to hear more so he controlled himself and listened not daring to breathe  its only your name thats my enemy she continued youre still what you ,Act 2,Scene 2,Act 2Scene 2
are montague or no montague  she paused he wanted to rush out and say look down here but she spoke again  anyway whats montague its not as though its a hand or a foot or an arm or a face or anything like that oh i wish you could be some other name whats in a name anyway the flower that we call a rose would smell as sweet whatever we called it whatever name romeo had it wouldnt make any difference he would still be everything thats perfect oh romeo throw your name out and take all of me instead  romeo couldnt stand it any more he sprang from behind the tree and raised his arms ill take you at your word he said just call me love and that will be my new name from now on im not romeo  she drew back it was such a shock to hear someone out there that she didnt listen to what he was saying  who are you she said coming here in the dark watching me and eavesdropping like this  im afraid to tell you my name he said i hate my name because you hate it if i had written it i would tear the word up she recognized his voice arent you romeo and a montague  neither he said since you dislike both names  how did you get here tell me that and why the orchard walls are high and hard to ,Act 2,Scene 2,Act 2Scene 2
climb and this place is dangerous considering who you are if any of my family finds you here  i flew over the wall he said with the wings of love stone walls cant keep love out love cant be stopped so how could your family stop me  if they see you theyll kill you  your eyes are more powerful than twenty of their swords just give me a loving look and ill be invincible  she looked around i dont want them to see you here  its alright its dark anyway if you dont love me id rather be caught by them than live without your love  who told you where to find me  romeo found it impossible to be serious love told me im no navigator but even if you were living on the far side of the furthest ocean i would find my way to you  its a good thing its dark she said or you would see me blushing because of what you overheard i would love to be able to deny that i said those things but im not going to pretend do you love me  at that romeo really felt he was flying he opened his mouth to tell her but she was rushing on  i know youll say yes and ill take your word for it but if you swear too much you may not stick to it please dont let that happen she leant forward over the balustrade oh ,Act 2,Scene 2,Act 2Scene 2
romeo if you do love me please tell me honestly she moved back a little or if you think im too fast tell me and ill put on an act and be all coy and play hard to get im so much in love with you thats why im being so forward but i promise you ill be more loving and faithful than those who are reserved i should have been all shy i know and would have if you hadnt overheard my real feelings so forgive me and dont think im taking it lightly  i swear by the moon  oh dont swear by the moon the moons too changeable  what shall i swear by  dont swear at all she said but if you must swear by your self youre the god i worship swear by your self and ill believe you no dont swear although i love you i dont like this  making commitments like this its too sudden too fast its not a good idea its like lightning  gone too quickly ill say goodnight this bud of love may grow into a lovely flower by the time we meet again she stepped back and stood beside the door good night  romeo couldnt understand this what was she doing just like that he said  are you just going to leave it like that  what more could we do tonight she said coming forward again  make faithful vows of love he said  ,Act 2,Scene 2,Act 2Scene 2
i gave you mine before you asked for it and yet i wish i had it back  do you want to take it back why  to be honest so that i can give it to you again but i have so much love for you the more i give the more i have its like the sea  without end  the nurses voice intruded into their conversation juliet lamb honey love  im just coming nurse she called she turned back to romeo beloved montague be true to me he thought she had gone but she whispered to him wait there ill be back  oh night oh beautiful night he said he blew kisses at the moon it couldnt be true it had to be a dream but it wasnt because there she was again  just a few more words and then it really will be goodnight dear romeo if you really mean it and you want to marry me send me a message tomorrow ill send someone to you let me know where and for what time youve arranged a wedding and ill come to you then well be together forever  juliet her nurse was shouting now  coming called juliet but if you dont mean it i beg of you  juliet  im coming she leant right over and reached out towards romeo if youre trifling with me please leave me alone to deal with my grief ill send a messenger tomorrow  romeo felt he,Act 2,Scene 2,Act 2Scene 2
 was being left behind she thought he may not mean it as true as   he began but she had gone and he was left alone he felt as though a light had gone out he had better get out of there he turned but then he heard her again  psst romeo pssst  he was beneath her balcony like an arrow  romeo what time shall i send someone  at nine  ill make sure of that itll feel like twenty years till then she laughed ive forgotten why i called you back  thats alright ill just stand here until you remember it  then ill never remember it so that youll stand there forever  and ill keep standing here hoping youll keep forgetting and ill forget that ive got any other home but this  its almost morning she said i want you to go but i dont want to let go of you  you must leave now its so hard to say goodbye id like to keep saying goodnight until it becomes tomorrow with a last lingering look she broke away from his gaze and was gone  romeo ran through the orchard and scaled the wall without being aware of its height the sun was about to come up there would be no sleep for him he would go straight to friar lawrences chapel tell him the wonderful thing that had happened to him and get his help,Act 2,Scene 2,Act 2Scene 2
friar lawrence was up early the clouds in the eastern sky were streaked with light as the night scurried out of the way of the advancing day he looked up from time to time he wanted to fill his basket with a mixture of poisonous and healing herbs before the sun came up to dry the dew  he loved nature he often thought about the soil  about the way that it encompassed the whole of life it was a grave that took all life into itself when it died but it was also a mother from which all new life sprang  plants fascinated him he felt that every single plant had great value even those we think are vile have some power and grace every living thing was special although nothing was so good that it couldnt be dangerous if it was abused  he held a young plant up and stared at it in wonder even this little flower had both poisonous and healing qualities if you smelt it it would heal your ailments if you swallowed it you would die people were like that too  they had both good and evil in them  a youth was coming towards him through the tall grass morning father he called  ah said the friar as romeo reached him panting whos this then visiting me so early in the morning is there som,Act 2,Scene 3,Act 2Scene 3
ething wrong my boy being up so early you must be worried about something or youd be in your bed fast asleep we old men know what its like to lie awake all night worrying but you youngsters can sleep soundly at any time so to see you here so early makes me think youve got something on your mind in any case i can tell that youve not even been to bed tonight  youre right there said romeo i had a better rest  god pardon you said friar lawrence have you been with rosaline  rosaline romeos brow furrowed no ive forgotten that name and everything about her  thats my boy said the friar but where have you been then  come on father ill tell you all about it on the way to your chapel romeo couldnt keep the excitement out of his voice as they walked  i was feasting with my enemies when suddenly one of them wounded me in fact i inflicted a wound too but youre the one who can heal us both  speak plainly said the friar i dont understand what youre getting at  to put it plainly ive fallen in love with capulets daughter and she with me and to cut a long story short you must marry us and you must agree to marry us today  the friar had stopped holy st francis  he exclaimed what a turn,Act 2,Scene 3,Act 2Scene 3
about have you forgotten rosaline am i to understand that young men love with their eyes and not their hearts jesu maria you cried buckets for rosaline the sound of your groans is still ringing in my ears look here on your cheek theres the stain of a tear it was rosaline this and rosaline that yesterday and now its all changed  you told me off all the time for loving rosaline  for being infatuated not loving my boy  and told me to bury love  not to dig another one up  please said romeo dont reprimand me the one i love now loves me in return the other didnt  because she could see you didnt mean it friar lawrence was thinking marrying the two young people from the feuding families would be a disaster and he couldnt possible agree to it or could he it may be the best way of bringing the families together it could just be the salvation of verona it took him a second to decide come on then you young rascal he said come with me this is one thing i can help you with this could be the answer the thing to turn your households hatred into love  well lets hurry then said romeo i cant wait  slow down said the friar as romeo started running youll stumble if you try to go too fast,Act 2,Scene 3,Act 2Scene 3
where the devil could romeo be  mercutio and benvolio sat in the shade of the fountains wall it was going to be another hot day mercutio drew a heart in the dust didnt he come home last night  not to his fathers said benvolio i talked to his servant  who would have thought it said mercutio that the dull cold rosaline should have the power to drive him crazy  did you know that capulets nephews sent a letter to his fathers house said benvolio  no a challenge  romeo will answer it  any man who can write could answer a letter said mercutio  no i mean hell accept the challenge  itll be a walkover romeos already dead said mercutio stabbed with a womans eye run through with a love song his heart pierced by cupids arrow and you think hes fit to take tybalt on  whats so special about tybalt said benvolio  didnt you know said mercutio hes more than just the prince of cats hes a champ hes as good at fighting as you are at singing his timing is perfect  when he counts bars its one two  mercutio mimed a swordsman in action and the third one is in your chest jabbing at benvolio with his finger he can hit a silk button at his first gohes a swordsman our tybalt hes in the first league an exper,Act 2,Scene 4,Act 2Scene 4
t in all the strokes hes a mercutio shook his head  a what  forget it said mercutio hes a poser plain and simple  hey said benvolio as romeo came towards them here he is the man himself  ah said mercutio look at him what a lad the most beautiful women in history were kitchen girls to his rosaline even dido was a peasant he bowed signor romeo bon jour hows that for a nice french greeting you cheated us well and truly last night  good morning said romeo what do you mean  the slip the slip said mercutio dont you understand you gave us the slip  im sorry mercutio i had important business im sorry  they began ribbing each other exchanging insults romeos friends were pleased to see that he was back to his normal self  there we are said mercutio isnt this better than groaning for love now youre sociable  youre romeo again the romeo we all know  romeo was unable to take the big grin off his face he kept looking up and down the square whenever he saw any new movement he looked up  and there it was at last  juliet s nurse all dressed up in full skirts and a billowing train which the hapless peter was trying to hold down as she swept across the piazza  a sail a sail shouted romeo and his ,Act 2,Scene 4,Act 2Scene 4
